area_mm2,avg_l_value,day_id,std_l_value,timestamp,image_filename
3174.19,181.32,IMG_4932,24.26,2025-09-07,IMG_4932.png
49.65,166.95,IMG_4940,53.55,2025-09-08,IMG_4940.png
50901.27,171.55,IMG_4955,34.93,2025-09-09,IMG_4955.png
22838.58,200.17,IMG_4962,20.66,2025-09-10,IMG_4962.png
2375.47,205.89,IMG_4964,15.3,2025-09-11,IMG_4964.png
53301.96,170.54,IMG_4983,31.37,2025-09-12,IMG_4983.png
6250.01,184.56,IMG_4988,27.59,2025-09-13,IMG_4988.png
2564.44,203.64,IMG_4993,15.63,2025-09-14,IMG_4993.png
27065.08,164.69,IMG_4999,19.95,2025-09-15,IMG_4999.png
84943.68,158.81,IMG_5001,30.55,2025-09-16,IMG_5001.png
79671.3,157.81,IMG_5002,36.48,2025-09-17,IMG_5002.png
36920.97,177.67,IMG_5006,33.62,2025-09-18,IMG_5006.png
76385.41,161.26,IMG_5007,24.91,2025-09-19,IMG_5007.png
2159.42,172.51,IMG_5013,29.36,2025-09-20,IMG_5013.png
16359.52,130.86,IMG_5015,28.27,2025-09-21,IMG_5015.png
69623.53,146.21,IMG_5035,31.53,2025-09-23,IMG_5035.png
22631.93,178.52,IMG_5042,40.16,2025-09-24,IMG_5042.png
2321.09,182.45,IMG_5050,26.88,2025-09-26,IMG_5050.png
